customer_id,disbursed_amount,interest,market,employment,time_employed,householder,income,date_issued,target,loan_purpose,number_open_accounts,date_last_payment,number_credit_lines_12
0,23201.5,15.484,C,Teacher,<=5 years,RENT,84600.0,2013-06-11,0,Debt consolidation,4.0,2016-01-14,
1,7425.0,11.2032,B,Accountant,<=5 years,OWNER,102000.0,2014-05-08,0,Car purchase,13.0,2016-01-25,
2,11150.0,8.51,A,Statistician,<=5 years,RENT,69840.0,2013-10-26,0,Debt consolidation,8.0,2014-09-26,
3,7600.0,5.865600000000001,A,Other,<=5 years,RENT,100386.0,2015-08-20,0,Debt consolidation,20.0,2016-01-26,
4,31960.0,18.7392,E,Bus driver,>5 years,RENT,95040.0,2014-07-22,0,Debt consolidation,14.0,2016-01-11,
5,8288.75,15.244800000000001,C,Statistician,>5 years,MORTGAGE,41587.0,2013-08-21,0,Debt consolidation,5.0,2015-01-10,
6,27900.0,16.967,D,Secretary,>5 years,RENT,172050.0,2015-09-27,0,Other,9.0,2016-01-02,
7,9100.0,16.55,D,Software developer,<=5 years,RENT,47500.0,2015-03-20,0,Home improvements,14.0,2016-01-10,
8,9996.0,25.5717,E,Statistician,>5 years,RENT,35520.0,2014-02-14,1,Moving home,9.0,2015-08-01,
9,16380.0,8.544,A,Nurse,>5 years,RENT,38000.0,2013-12-25,0,Debt consolidation,9.0,2016-01-08,
10,21840.0,9.8952,B,Accountant,>5 years,MORTGAGE,61875.0,2015-11-22,0,Debt consolidation,13.0,2016-01-08,
11,11400.0,7.426,A,Taxi driver,>5 years,MORTGAGE,85750.0,2014-04-04,0,Debt consolidation,18.0,2016-01-20,
12,19008.0,16.1405,D,Other,>5 years,RENT,60450.0,2015-10-26,0,Other,16.0,2015-12-18,
13,31850.0,19.7306,E,,,MORTGAGE,81700.0,2015-11-13,0,Debt consolidation,17.0,2016-01-26,
14,4560.0,10.6603,B,Taxi driver,<=5 years,MORTGAGE,30070.0,2015-04-23,0,Other,9.0,2016-01-03,
15,15792.0,8.9931,B,Accountant,<=5 years,RENT,85560.0,2014-02-19,0,Debt consolidation,12.0,2015-12-06,
16,7680.0,10.868,B,Secretary,>5 years,MORTGAGE,141120.0,2015-01-08,0,Debt consolidation,8.0,2015-12-26,
17,9300.0,10.6076,B,,,MORTGAGE,59400.0,2015-06-19,0,Home improvements,14.0,2016-01-17,
18,13399.75,15.888,D,Bus driver,>5 years,MORTGAGE,30000.0,2015-12-18,0,Debt consolidation,15.0,2016-01-12,
19,15200.0,12.4545,B,Accountant,>5 years,RENT,49000.0,2013-04-11,0,Debt consolidation,12.0,2015-12-25,
20,30240.0,16.8201,D,Civil Servant,<=5 years,RENT,76000.0,2015-03-13,0,Debt consolidation,8.0,2016-01-20,
21,22275.0,12.3969,C,Statistician,>5 years,MORTGAGE,90250.0,2015-09-04,0,Debt consolidation,14.0,2016-01-01,
22,17108.0,17.3943,D,Civil Servant,<=5 years,RENT,40612.5,2015-09-24,0,Debt consolidation,6.0,2016-01-23,
23,13395.0,16.6915,D,Teacher,>5 years,MORTGAGE,52080.0,2014-05-20,0,Debt consolidation,20.0,2016-01-12,
24,18800.0,18.990499999999997,E,Civil Servant,>5 years,MORTGAGE,78400.0,2014-04-18,0,Debt consolidation,12.0,2016-01-15,
25,4800.0,14.1772,D,Dentist,>5 years,RENT,117600.0,2015-12-17,0,Debt consolidation,14.0,2016-01-03,
