age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribe
58,management,married,tertiary,no,2143.0,yes,no,unknown,5.0,may,261.0,1.0,-1.0,0,unknown,0
44,technician,single,secondary,no,29.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0,unknown,0
33,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5.0,may,76.0,,-1.0,0,unknown,0
47,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5.0,may,92.0,1.0,-1.0,0,unknown,0
33,unknown,single,unknown,no,1.0,no,no,unknown,5.0,may,198.0,1.0,-1.0,0,unknown,0
35,management,married,tertiary,no,,yes,no,unknown,5.0,may,139.0,1.0,,0,unknown,0
28,management,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,,-1.0,0,unknown,0
42,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0,unknown,0
58,retired,married,primary,no,121.0,yes,no,unknown,5.0,may,50.0,1.0,,0,unknown,0
43,technician,single,secondary,no,593.0,yes,no,unknown,5.0,may,,,-1.0,0,unknown,0
41,admin.,divorced,secondary,no,270.0,yes,no,,5.0,may,222.0,1.0,-1.0,0,unknown,0
29,admin.,single,secondary,no,390.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0,unknown,0
53,technician,married,secondary,no,6.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
58,technician,married,unknown,no,71.0,yes,no,,5.0,may,71.0,,-1.0,0,unknown,0
57,services,married,secondary,no,162.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,,0
51,retired,married,primary,no,229.0,yes,no,unknown,5.0,may,353.0,1.0,-1.0,0,unknown,0
45,admin.,single,unknown,no,13.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0,unknown,0
57,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,1.0,-1.0,0,unknown,0
60,retired,married,primary,no,60.0,yes,no,unknown,5.0,may,219.0,1.0,-1.0,0,unknown,0
33,services,married,secondary,no,,yes,no,unknown,5.0,may,54.0,,-1.0,0,unknown,0
28,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5.0,may,262.0,1.0,-1.0,0,unknown,0
56,management,married,tertiary,no,779.0,yes,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
32,blue-collar,single,primary,no,23.0,yes,yes,unknown,,may,160.0,,-1.0,0,unknown,0
25,services,married,secondary,no,,yes,no,unknown,5.0,may,342.0,1.0,-1.0,0,unknown,0
40,retired,married,primary,no,0.0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0,unknown,0
44,admin.,married,secondary,no,-372.0,yes,no,,5.0,may,172.0,1.0,-1.0,0,unknown,0
39,management,single,tertiary,no,255.0,yes,no,unknown,5.0,may,296.0,1.0,-1.0,0,unknown,0
52,entrepreneur,married,secondary,no,113.0,yes,yes,,5.0,may,127.0,1.0,-1.0,0,unknown,0
46,management,single,secondary,no,-246.0,yes,no,unknown,5.0,may,255.0,2.0,-1.0,0,unknown,0
36,technician,single,secondary,no,265.0,yes,yes,unknown,5.0,may,348.0,,-1.0,0,unknown,0
57,technician,married,secondary,no,839.0,no,yes,unknown,5.0,may,225.0,1.0,-1.0,0,unknown,0
49,management,married,tertiary,no,378.0,yes,no,unknown,5.0,may,230.0,1.0,-1.0,0,unknown,0
60,admin.,married,secondary,no,39.0,yes,yes,unknown,5.0,may,208.0,,-1.0,0,unknown,0
59,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0,unknown,0
51,management,married,tertiary,no,10635.0,yes,no,unknown,5.0,may,336.0,1.0,,0,unknown,0
57,technician,divorced,secondary,no,63.0,yes,no,,5.0,may,242.0,,-1.0,0,unknown,0
25,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5.0,may,365.0,1.0,-1.0,0,unknown,0
53,technician,married,secondary,no,-3.0,no,no,unknown,5.0,may,,1.0,-1.0,0,unknown,0
36,admin.,divorced,secondary,no,506.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0,unknown,0
37,admin.,single,secondary,no,0.0,yes,no,unknown,5.0,may,137.0,,-1.0,0,unknown,0
44,services,divorced,secondary,no,2586.0,yes,no,,5.0,may,160.0,1.0,-1.0,0,unknown,0
50,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0,unknown,0
60,blue-collar,married,unknown,no,104.0,yes,no,unknown,5.0,may,22.0,,-1.0,0,unknown,0
54,retired,married,secondary,no,529.0,yes,no,unknown,5.0,may,1492.0,1.0,,0,unknown,0
58,retired,married,unknown,no,96.0,yes,no,unknown,5.0,may,616.0,1.0,-1.0,0,,0
36,admin.,single,primary,no,-171.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0,unknown,0
58,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5.0,may,355.0,,-1.0,0,unknown,0
44,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,225.0,,-1.0,0,unknown,0
55,technician,divorced,secondary,no,0.0,no,no,,5.0,may,160.0,1.0,-1.0,0,unknown,0
29,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,363.0,1.0,-1.0,0,unknown,0
54,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5.0,may,266.0,1.0,,0,unknown,0
48,management,divorced,tertiary,no,-244.0,yes,no,unknown,5.0,may,253.0,1.0,-1.0,0,unknown,0
32,management,married,tertiary,no,0.0,yes,no,unknown,5.0,may,179.0,1.0,-1.0,0,unknown,0
42,admin.,single,secondary,no,-76.0,yes,no,unknown,5.0,may,787.0,,-1.0,0,unknown,0
24,technician,single,secondary,no,-103.0,yes,yes,unknown,5.0,may,145.0,,-1.0,0,,0
38,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5.0,may,174.0,1.0,-1.0,0,unknown,0
38,management,single,tertiary,no,,yes,no,unknown,5.0,may,104.0,,-1.0,0,unknown,0
47,blue-collar,married,unknown,no,306.0,yes,no,unknown,5.0,may,13.0,1.0,-1.0,0,unknown,0
40,blue-collar,single,unknown,no,,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0,unknown,0
46,services,married,primary,no,179.0,yes,no,unknown,5.0,may,1778.0,1.0,-1.0,0,unknown,0
32,admin.,married,tertiary,no,0.0,yes,no,unknown,5.0,may,138.0,1.0,-1.0,0,unknown,0
53,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,,-1.0,0,unknown,0
57,blue-collar,married,primary,no,249.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0,unknown,0
33,services,married,secondary,no,790.0,yes,no,,5.0,may,391.0,1.0,-1.0,0,unknown,0
49,blue-collar,married,unknown,no,154.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0,unknown,0
51,management,married,tertiary,no,6530.0,yes,no,unknown,5.0,may,91.0,1.0,-1.0,0,unknown,0
60,retired,married,tertiary,no,100.0,no,no,unknown,5.0,may,528.0,1.0,-1.0,0,unknown,0
59,management,divorced,tertiary,no,59.0,yes,no,unknown,5.0,may,273.0,1.0,,0,unknown,0
55,technician,married,secondary,no,1205.0,yes,no,unknown,5.0,may,158.0,2.0,-1.0,0,unknown,0
35,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5.0,may,177.0,1.0,-1.0,0,unknown,0
57,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5.0,may,258.0,1.0,,0,unknown,0
